Document	Gauche	Terme	Droite
0	La 	logique	 comme théorie des arguments valides
0	théorie des arguments valides La 	logique	 est une théorie normative du
0	vaut aussi bien pour la 	logique	 traditionnelle héritée d’Aristote que pour
0	héritée d’Aristote que pour la 	logique	 contemporaine héritée de Frege. La
0	de la relation de conséquence 	logique	 entre un ensemble d’énoncés Γ
0	ses prémisses a pour conséquence 	logique	 la traduction de sa conclusion
0	uniquement des principes de la 	logique	. Un argument [2] tel que
0	découle des prémisses par la 	logique	 pure. À l’inverse, considérons l’argument
0	n’en découle pas par la 	logique	 pure. Pour obtenir un argument
0	la spécificité de la validité 	logique	. Si mon interlocuteur accepte les
0	corps comme les autres. La 	logique	 est normative précisément en ce
0	effet, on dit que la 	logique	 commence avec la définition de
0	caractérisation de l’objet de la 	logique	. De l’autre, on insiste sur
0	supplémentaire de ce qu’est la 	logique	. Je me propose dans cet
0	circulaire de l’objet de la 	logique	 ? Je rappellerai d’abord ce qu’est
0	définition classique de la conséquence 	logique	 et l’analyse conceptuelle qui la
0	d’une caractérisation antécédente du vocabulaire 	logique	, est d’autant plus sérieux qu’il
0	la définition de la conséquence 	logique	 (section IV). J’exposerai ensuite une
0	de la nature de la 	logique	 en termes de généralité (section
0	définition sémantique de la conséquence 	logique	 Voyons de plus près comment
0	supposée de l’objet de la 	logique	 lorsqu’il s’agit de définir la
0	définir la relation de conséquence 	logique	. La définition classique est due
0	définition formelle. Premièrement, la conséquence 	logique	 préserve la vérité au sens
0	à capturer l’idée de conséquence 	logique	. Suivant un concept de nécessité
0	rien à voir avec la 	logique	. Un second critère va permettre
0	conséquences nécessaires, relèvent de la 	logique	 [3]. Ce sont les conséquences
0	est le concept de conséquence 	logique	, c’est-à-dire de conséquence
0	K d’énoncés a pour conséquence 	logique	 un énoncé X si et
0	que la relation de conséquence 	logique	 ne dépend pas des objets
0	des énoncés pour la conséquence 	logique	, je recours à toutes les
0	K d’énoncés a pour conséquence 	logique	 un énoncé X si et
0	la définition de la conséquence 	logique	 à un syllogisme en BARBARA
0	la définition de la conséquence 	logique	 afin de déterminer la validité
0	revanche a été considéré comme 	logique	. Ceci nous a conduits à
0	considérer le déterminant « tous » comme 	logique	. On devrait alors travailler avec
0	n’apparaît plus comme une conséquence 	logique	 des prémisses. Ce résultat est
0	Une définition de la conséquence 	logique	 qui nous explique pourquoi il
0	logiques. À un extrême, conséquence 	logique	 et conséquence matérielle [9] coïncident
0	que K n’aura comme conséquence 	logique	 X que si X appartient
0	la définition de la conséquence 	logique	 satisfaisait ces conditions, elle serait
0	si K a pour conséquence 	logique	 X, et si K est
0	qui partagent une même forme 	logique	, c’est-à-dire tels que
0	la définition de la conséquence 	logique	, l’argument 4 sera valide s’il
0	la définition de la conséquence 	logique	 (avec ce choix de constantes
0	forme et contenu. La conséquence 	logique	 dépend seulement de la forme
0	Tarski, s’il y a conséquence 	logique	, cette relation doit être préservée
0	idée pour définir la conséquence 	logique	. Mais pour que la lettre
0	obtient un concept de forme 	logique	 qui n’est pas un bon
0	un bon concept de forme 	logique	. En effet, les formes d’énoncés
0	visent à donner la forme 	logique	 des énoncés constituant l’argument 4
0	en vertu de la forme 	logique	, la notion de forme logique
0	logique, la notion de forme 	logique	 en jeu n’a d’intérêt que
0	interprétation selon laquelle la forme 	logique	 est bien ce qu’on obtient
0	la définition de la conséquence 	logique	 pour tout choix de symboles
0	la définition de la conséquence 	logique	 souffrirait bien d’une circularité vicieuse
0	symboles logiques suit : un symbole 	logique	 ne doit dénoter que des
0	la définition de la conséquence 	logique	 : l’analyse conceptuelle qui conduit Tarski
0	est une caractérisation de la 	logique	, dont le trait remarquable est
0	est qu’elle est relative. La 	logique	 n’est pas définie par des
0	vivant. L’idée est que la 	logique	 se définit, à la différence
0	suivante : 35. L’importance de la 	logique	 dans les sciences […] La logique
0	logique dans les sciences […] La 	logique	 est à bon droit considérée
0	des concepts tirés de la 	logique	, et que toute inférence correcte
0	trouve déjà fondée sur la 	logique	, qui, pour ainsi dire, est
0	et les lois de la 	logique	 sont traitées sur un pied
0	la géométrie, mais à la 	logique	). De ce qui précède, le
0	G.1 et l’association entre 	logique	 et généralité, on peut contester
0	logiques. La caractérisation de la 	logique	 comme théorie la plus générale
0	raisonnement. En disant que la 	logique	 est une théorie normative du
0	raisonnements. En disant que la 	logique	 est la théorie la plus
0	l’affirmation suivante : (*) Si ? est conséquence 	logique	 de ?, alors il est nécessaire
0	possibles. Selon (*), si ? est conséquence 	logique	 de ?, alors toute situation possible
