Topic	Term 0	Term 1	Term 2	Term 3	Term 4	Term 5	Term 6	Term 7	Term 8	Term 9
Topic 0	المنطق	العلوم	علم	الرياضيات	المعرفة	الصوري	العلم	والمنطق	منطقية	نظرية
Topic 1	يمكن	المنطقية	منطق	مثل	التفكير	دراسة	المثال	اللغة	فإن	سبيل
Topic 2	المرأة	الإسلامية	الوثيقة	الأسرة	العالم	الاجتماعي	الدولية	العالمي	العالمية	دول
Topic 3	التاريخ	اليوم	العمل	المادية	بما	أخرى	المحلية	النظام	الخاصة	تنسيقات
Topic 4	البحث	ليس	الحقيقة	العلمية	الكمبيوتر	بل	لغة	قوانين	العلمي	أخرى
Topic 5	بن	سنة	النحو	ابن	ـ	فلسفة	القانون	محمد	كتاب	الأندلس
Topic 6	العربية	قال	يقول	الشاعر	اللغة	تقول	صوت	قالوا	اللغوي	الله
Topic 7	legal	المثل	التحرير	law	logic	reasoning	vol	القصيدة	الشعبي	الحالة
Topic 8	الفلسفة	أنّ	القرن	فريجه	السؤال	الفلسفي	عنها	العربي	الهيمنة	بل
Topic 9	excel	البيانات	الخلايا	false	countifs	sumproduct	ruler	pencil	استخدام	b2

Document Title	Topic 0 Weight	Topic 1 Weight	Topic 2 Weight	Topic 3 Weight	Topic 4 Weight	Topic 5 Weight	Topic 6 Weight	Topic 7 Weight	Topic 8 Weight	Topic 9 Weight
dump_ar_1	0.909091	0.909091	91.818184	0.909091	0.909091	0.909091	0.909091	0.909091	0.909091	0.909091
dump_ar_10	41.19403	25.074628	5.373134	2.985075	9.850746	3.283582	2.985075	2.985075	3.283582	2.985075
dump_ar_11	28.81002	44.258872	5.219207	2.087683	8.977035	2.296451	2.087683	2.087683	2.087683	2.087683
dump_ar_12	18.727273	7.272727	3.090909	4	38.272727	7	0.909091	1.272727	18.545455	0.909091
dump_ar_13	1.727273	4.545455	0.909091	0.909091	3.454546	0.909091	0.909091	2.272727	0.909091	83.454543
dump_ar_14	6.971154	4.206731	1.201923	1.201923	8.774038	1.442308	32.331732	5.288462	28.004807	10.576923
dump_ar_15	50.81818	6.272727	3.818182	5.818182	14.272727	4.545455	4.272727	1.272727	5.636363	3.272727
dump_ar_16	5.720824	12.128147	2.745996	24.713959	28.83295	5.720824	2.517162	2.28833	3.661327	11.670481
dump_ar_17	2.506266	54.13534	2.506266	9.774436	5.513784	2.506266	3.007519	3.007519	3.007519	14.035088
dump_ar_18	6.644518	9.966777	11.627907	37.873754	11.295681	3.322259	7.973422	3.322259	4.651163	3.322259
dump_ar_19	14.909092	4.909091	2.727273	6.545454	12.454546	25	0.909091	1.727273	29.909092	0.909091
dump_ar_2	2.66809	1.707577	3.948773	3.308431	1.921025	74.70651	5.549626	2.134472	2.134472	1.921025
dump_ar_20	2.636363	2.454546	2.181818	3.545454	11.545455	16.909091	8.909091	41.454545	9.454545	0.909091
dump_ar_21	41.545454	34.545454	1	3.272727	8.454546	0.909091	0.909091	1.636364	6.636363	1.090909
dump_ar_22	1.618123	1.618123	1.618123	1.618123	2.912621	5.501618	80.2589	1.618123	1.618123	1.618123
dump_ar_23	4.485488	6.332454	14.511873	8.970977	12.92876	6.596306	5.804749	2.638522	2.638522	35.092348
dump_ar_24	1.677852	3.52349	1.677852	1.677852	3.691275	2.852349	5.033557	2.181208	9.563758	68.12081
dump_ar_25	13.095239	10.714286	6.547619	45.535713	6.25	2.97619	2.97619	2.97619	2.97619	5.952381
dump_ar_26	9.382716	4.691358	7.407408	7.407408	9.62963	3.950617	46.666667	2.469136	5.432099	2.962963
dump_ar_27	10.402685	12.416107	5.369127	5.704698	13.422818	15.771812	4.026846	13.087249	13.087249	6.711409
dump_ar_28	30.193907	19.66759	4.155125	2.770083	13.296399	5.540166	2.770083	10.526316	8.310249	2.770083
dump_ar_29	15.818182	9.818182	2.818182	3.636363	5.545454	7.090909	30.454546	1.181818	22.727273	0.909091
dump_ar_3	0.909091	0.909091	91.818184	0.909091	0.909091	0.909091	0.909091	0.909091	0.909091	0.909091
dump_ar_30	31.81818	15.727273	0.909091	2.454546	22.454545	1.181818	0.909091	1.090909	21.727273	1.727273
