Frequency	Length	Phrase	Distributions
2	22	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف أرسطوطاليس واضع هذا العلم في بعض أصوله	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	21	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف أرسطوطاليس واضع هذا العلم في بعض	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	20	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف أرسطوطاليس واضع هذا العلم في	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	19	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف أرسطوطاليس واضع هذا العلم	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	18	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف أرسطوطاليس واضع هذا	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	17	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف أرسطوطاليس واضع	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	17	المنطق لتمثيل المعرفة والاستدلال والتخطيط في أنظمة الذكاء الاصطناعي منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة الكمبيوتر	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	16	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف أرسطوطاليس	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	16	المنطق لتمثيل المعرفة والاستدلال والتخطيط في أنظمة الذكاء الاصطناعي منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	15	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية وخالف	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	15	المنطق كلغة برمجة وحل المشكلات باستخدام prolog منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة الكمبيوتر	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	15	المنطق لتشفير المعلومات وفك تشفيرها والمصادقة عليها منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة الكمبيوتر	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	15	المنطق لتمثيل المعرفة والاستدلال والتخطيط في أنظمة الذكاء الاصطناعي منطق الكمبيوتر كيفية التفكير والعقل باستخدام	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	14	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع شرعية	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	14	المنطق كلغة برمجة وحل المشكلات باستخدام prolog منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	14	المنطق لتشفير المعلومات وفك تشفيرها والمصادقة عليها منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	14	المنطق لتمثيل المعرفة والاستدلال والتخطيط في أنظمة الذكاء الاصطناعي منطق الكمبيوتر كيفية التفكير والعقل	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	13	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية وجوامع	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	13	المنطق كلغة برمجة وحل المشكلات باستخدام prolog منطق الكمبيوتر كيفية التفكير والعقل باستخدام	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	13	المنطق لتشفير المعلومات وفك تشفيرها والمصادقة عليها منطق الكمبيوتر كيفية التفكير والعقل باستخدام	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	13	المنطق لتمثيل المعرفة والاستدلال والتخطيط في أنظمة الذكاء الاصطناعي منطق الكمبيوتر كيفية التفكير	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	13	منطق الكمبيوتر ولماذا هو مهم منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة الكمبيوتر	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	12	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة فقهية	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	12	المنطق كلغة برمجة وحل المشكلات باستخدام prolog منطق الكمبيوتر كيفية التفكير والعقل	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	12	المنطق لتشفير المعلومات وفك تشفيرها والمصادقة عليها منطق الكمبيوتر كيفية التفكير والعقل	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	12	المنطق لتمثيل المعرفة والاستدلال والتخطيط في أنظمة الذكاء الاصطناعي منطق الكمبيوتر كيفية	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	12	منطق الكمبيوتر ولماذا هو مهم منطق الكمبيوتر كيفية التفكير والعقل باستخدام أجهزة	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	11	المنطق بسط فيه القول على تبيين طرق المعارف واستعمل فيه أمثلة	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	11	المنطق كلغة برمجة وحل المشكلات باستخدام prolog منطق الكمبيوتر كيفية التفكير	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	11	المنطق لتشفير المعلومات وفك تشفيرها والمصادقة عليها منطق الكمبيوتر كيفية التفكير	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2	11	المنطق لتمثيل المعرفة والاستدلال والتخطيط في أنظمة الذكاء الاصطناعي منطق الكمبيوتر	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
