token	corpus size	all contexts size	frequency	co-frequency	specificity
logic	239693	15972	1022	399	194.29
programming	239693	15972	272	165	119.74
first-order	239693	15972	58	43	37.58
programmable	239693	15972	46	36	33.05
edit	239693	15972	179	68	32.95
classical	239693	15972	43	33	29.85
visibility	239693	15972	26	25	28.03
formal	239693	15972	129	53	27.86
informal	239693	15972	50	33	26.35
programs	239693	15972	73	39	26.04
Formal	239693	15972	79	39	24.36
array	239693	15972	43	29	23.65
Aristotelian	239693	15972	21	19	20.09
program	239693	15972	132	45	19.91
Audi	239693	15972	15	15	17.65
device	239693	15972	83	33	17.15
Boolean	239693	15972	41	22	15.06
modal	239693	15972	30	19	14.95
Philosophy	239693	15972	201	49	14.91
reasoning	239693	15972	248	54	14.12
Programmable	239693	15972	20	15	13.61
language	239693	15972	241	52	13.47
Informal	239693	15972	47	22	13.46
logical	239693	15972	331	63	13.45
mathematical	239693	15972	53	23	13.16
First-order	239693	15972	11	11	12.94
concurrent	239693	15972	17	13	12.04
Honderich	239693	15972	10	10	11.76
mathematics	239693	15972	36	18	11.76
circuit	239693	15972	55	22	11.76
theory	239693	15972	228	46	10.97
Craig	239693	15972	17	12	10.48
Classical	239693	15972	28	15	10.46
Jacquette	239693	15972	12	10	10.00
Main	239693	15972	85	25	9.87
article	239693	15972	86	25	9.75
propositional	239693	15972	40	17	9.74
Concurrent	239693	15972	19	12	9.62
1999	239693	15972	81	24	9.58
Propositional	239693	15972	20	12	9.26
arguments	239693	15972	119	29	9.19
pp	239693	15972	232	43	9.12
datalog	239693	15972	11	9	8.91
of	239693	15972	7524	627	8.83
logics	239693	15972	52	18	8.56
well-founded	239693	15972	9	8	8.49
Separation	239693	15972	9	8	8.49
constraint	239693	15972	27	13	8.41
basic	239693	15972	86	23	8.27
philosophical	239693	15972	28	13	8.17
Prolog	239693	15972	61	19	8.14
gates	239693	15972	44	16	8.04
Datalog	239693	15972	16	10	8.04
1996	239693	15972	56	18	7.99
Horn	239693	15972	29	13	7.94
microcontroller	239693	15972	10	8	7.82
Hintikka	239693	15972	46	16	7.73
Logic	239693	15972	465	64	7.67
used	239693	15972	358	53	7.52
rules	239693	15972	182	34	7.49
calculus	239693	15972	81	21	7.37
apply	239693	15972	55	17	7.30
Higher-order	239693	15972	11	8	7.28
Constraint	239693	15972	11	8	7.28
CPLDs	239693	15972	15	9	7.07
Mathematical	239693	15972	54	16	6.64
PAL	239693	15972	21	10	6.55
See	239693	15972	63	17	6.37
computer	239693	15972	108	23	6.34
system	239693	15972	167	30	6.34
Gottlob	239693	15972	10	7	6.25
symbolic	239693	15972	7	6	6.24
CPLD	239693	15972	7	6	6.24
systems	239693	15972	187	32	6.23
gate	239693	15972	102	22	6.20
PLA	239693	15972	14	8	6.11
interfacing	239693	15972	5	5	5.88
truths	239693	15972	5	5	5.88
varieties	239693	15972	5	5	5.88
also	239693	15972	385	51	5.84
conditions	239693	15972	92	20	5.76
higher-order	239693	15972	37	12	5.60
Answer	239693	15972	16	8	5.54
In	239693	15972	527	63	5.51
PLD	239693	15972	17	8	5.29
stable	239693	15972	22	9	5.28
predicates	239693	15972	53	14	5.26
noun	239693	15972	9	6	5.22
governed	239693	15972	13	7	5.18
representation	239693	15972	61	15	5.18
Field-programmable	239693	15972	6	5	5.13
Introduction	239693	15972	93	19	5.11
algebra	239693	15972	23	9	5.09
today	239693	15972	41	12	5.09
concepts	239693	15972	48	13	5.06
uses	239693	15972	48	13	5.06
study	239693	15972	63	15	5.00
languages	239693	15972	113	21	4.91
dynamic	239693	15972	14	7	4.91
Category	239693	15972	14	7	4.91
argumentation	239693	15972	10	6	4.86
Complex	239693	15972	10	6	4.86
model	239693	15972	169	27	4.85
2006	239693	15972	98	19	4.78
term	239693	15972	74	16	4.73
a	239693	15972	3508	291	4.70
natural	239693	15972	83	17	4.67
linear	239693	15972	15	7	4.67
Proposition	239693	15972	7	5	4.62
non-monotonic	239693	15972	7	5	4.62
FGCS	239693	15972	7	5	4.62
Truth	239693	15972	32	10	4.61
machine	239693	15972	32	10	4.61
12	239693	15972	84	17	4.60
propositions	239693	15972	53	13	4.57
Array	239693	15972	11	6	4.54
was	239693	15972	310	40	4.54
2005	239693	15972	102	19	4.54
sense	239693	15972	86	17	4.47
default	239693	15972	16	7	4.45
inference	239693	15972	105	19	4.36
relational	239693	15972	41	11	4.34
extend	239693	15972	12	6	4.27
corresponding	239693	15972	49	12	4.26
Turing	239693	15972	8	5	4.22
invented	239693	15972	8	5	4.22
GAL	239693	15972	8	5	4.22
using	239693	15972	258	34	4.17
form	239693	15972	176	26	4.14
fields	239693	15972	43	11	4.14
into	239693	15972	239	32	4.10
like	239693	15972	158	24	4.07
integrated	239693	15972	18	7	4.06
encompasses	239693	15972	5	4	4.04
Diagram	239693	15972	5	4	4.04
toggle	239693	15972	5	4	4.04
Transaction	239693	15972	5	4	4.04
Berners-Lee	239693	15972	13	6	4.03
to	239693	15972	4188	333	3.97
page	239693	15972	113	19	3.94
IC	239693	15972	9	5	3.90
Johnson	239693	15972	25	8	3.89
inferences	239693	15972	46	11	3.86
philosophy	239693	15972	39	10	3.83
devices	239693	15972	39	10	3.83
negative	239693	15972	14	6	3.82
problems	239693	15972	55	12	3.76
Computational	239693	15972	20	7	3.73
temporal	239693	15972	20	7	3.73
field	239693	15972	81	15	3.71
represent	239693	15972	64	13	3.70
symbols	239693	15972	41	10	3.64
Question	239693	15972	10	5	3.63
Functional	239693	15972	10	5	3.63
epistemic	239693	15972	15	6	3.63
digital	239693	15972	34	9	3.62
known	239693	15972	49	11	3.61
problem	239693	15972	120	19	3.61
syllogisms	239693	15972	6	4	3.59
Russell's	239693	15972	6	4	3.59
