token	corpus size	all contexts size	frequency	co-frequency	specificity
逻辑	116841	52700	4153	2379	57.59
数理	116841	52700	139	138	45.88
logic	116841	52700	126	124	39.54
功能	116841	52700	254	216	39.26
经典	116841	52700	161	142	29.72
英语	116841	52700	263	207	28.30
传统	116841	52700	254	193	23.09
辩证	116841	52700	495	333	22.93
演绎	116841	52700	239	180	20.86
思想	116841	52700	260	189	18.94
协调	116841	52700	51	51	17.64
符号	116841	52700	116	96	16.27
：	116841	52700	849	501	15.98
模态	116841	52700	45	45	15.56
哲学	116841	52700	312	207	13.73
方法	116841	52700	285	189	12.60
历史	116841	52700	206	143	12.01
指	116841	52700	125	95	11.84
直觉主义	116841	52700	33	33	11.41
生产关系	116841	52700	33	33	11.41
社会	116841	52700	300	192	10.73
现代	116841	52700	119	89	10.49
道义	116841	52700	30	30	10.38
非逻辑	116841	52700	41	38	9.90
基础理论	116841	52700	47	42	9.64
值	116841	52700	121	88	9.33
因素	116841	52700	42	38	9.14
中国	116841	52700	713	400	9.08
mathematical	116841	52700	26	26	8.99
干逻辑	116841	52700	30	29	8.81
线性	116841	52700	25	25	8.65
真性	116841	52700	25	25	8.65
Doxastic	116841	52700	25	25	8.65
3	116841	52700	119	85	8.43
命题	116841	52700	197	129	8.42
研究	116841	52700	524	300	8.22
）	116841	52700	856	466	8.11
阶逻辑	116841	52700	23	23	7.95
易学	116841	52700	37	33	7.63
机理	116841	52700	26	25	7.49
元	116841	52700	75	57	7.42
次	116841	52700	67	52	7.35
谓词	116841	52700	21	21	7.26
真理	116841	52700	64	50	7.26
of	116841	52700	81	60	7.09
处理	116841	52700	41	35	7.01
关于	116841	52700	107	75	7.00
与	116841	52700	665	364	6.91
应用	116841	52700	161	105	6.91
编辑	116841	52700	134	90	6.88
教学	116841	52700	48	39	6.61
作为	116841	52700	172	110	6.56
运算	116841	52700	44	36	6.29
符	116841	52700	18	18	6.22
分支	116841	52700	57	44	6.21
客观	116841	52700	84	60	6.19
发挥	116841	52700	34	29	5.89
（	116841	52700	846	446	5.87
双面	116841	52700	21	20	5.85
阐释	116841	52700	30	26	5.60
兴起	116841	52700	16	16	5.53
时期	116841	52700	117	77	5.52
方法论	116841	52700	38	31	5.44
探讨	116841	52700	48	37	5.31
非经典	116841	52700	19	18	5.21
概要	116841	52700	15	15	5.19
非传统	116841	52700	15	15	5.19
亚	116841	52700	15	15	5.19
科学	116841	52700	254	148	5.14
充分	116841	52700	41	32	4.87
句子	116841	52700	33	27	4.86
布尔函数	116841	52700	14	14	4.84
宋明	116841	52700	14	14	4.84
突出	116841	52700	14	14	4.84
拒绝	116841	52700	14	14	4.84
ECQ	116841	52700	14	14	4.84
作用	116841	52700	83	56	4.69
现代化	116841	52700	55	40	4.66
数学	116841	52700	137	85	4.60
计算性	116841	52700	17	16	4.56
布尔代	116841	52700	17	16	4.56
知识	116841	52700	113	72	4.54
形式逻辑	116841	52700	317	177	4.54
形式主义	116841	52700	13	13	4.50
开	116841	52700	26	22	4.48
出版	116841	52700	23	20	4.45
连	116841	52700	34	27	4.43
矛盾律	116841	52700	31	25	4.34
因明	116841	52700	28	23	4.26
资本	116841	52700	16	15	4.24
一致性	116841	52700	16	15	4.24
阶	116841	52700	16	15	4.24
古代	116841	52700	153	92	4.20
传入	116841	52700	33	26	4.18
规定	116841	52700	43	32	4.17
19	116841	52700	19	17	4.17
强调	116841	52700	38	29	4.16
量化	116841	52700	12	12	4.15
Heyting	116841	52700	12	12	4.15
高阶	116841	52700	12	12	4.15
时空	116841	52700	12	12	4.15
信念	116841	52700	35	27	4.05
