Count	URL	HTTP_CODE	ENCODING	HTML	DUMP	Nombres de Token	Compte
[1]	https://zh.wikipedia.org/zh-hans/%E9%80%BB%E8%BE%91	200	UTF-8	../../aspirations/ch_html/ch_1.html	../../dumps-text/logique_chinois/dump_ch_1.txt	10535	312
[2]	https://zh.wikipedia.org/wiki/%E9%9D%9E%E5%BD%A2%E5%BC%8F%E9%80%BB%E8%BE%91	200	UTF-8	../../aspirations/ch_html/ch_2.html	../../dumps-text/logique_chinois/dump_ch_2.txt	5221	76
[3]	https://zh.wikipedia.org/wiki/%E6%95%B0%E7%90%86%E9%80%BB%E8%BE%91	200	UTF-8	../../aspirations/ch_html/ch_3.html	../../dumps-text/logique_chinois/dump_ch_3.txt	6541	124
[4]	https://zh.wikipedia.org/wiki/%E5%B8%83%E5%B0%94%E9%80%BB%E8%BE%91	200	UTF-8	../../aspirations/ch_html/ch_4.html	../../dumps-text/logique_chinois/dump_ch_4.txt	7892	50
[5]	https://zh.wikipedia.org/zh-cn/%E5%91%BD%E9%A2%98%E9%80%BB%E8%BE%91	200	UTF-8	../../aspirations/ch_html/ch_5.html	../../dumps-text/logique_chinois/dump_ch_5.txt	23369	106
[6]	https://zh.wikipedia.org/wiki/%E9%9D%9E%E7%B6%93%E5%85%B8%E9%82%8F%E8%BC%AF	200	UTF-8	../../aspirations/ch_html/ch_6.html	../../dumps-text/logique_chinois/dump_ch_6.txt	3702	80
[7]	https://zh.wikipedia.org/zh-cn/%E8%BE%A9%E8%AF%81%E9%80%BB%E8%BE%91	200	UTF-8	../../aspirations/ch_html/ch_7.html	../../dumps-text/logique_chinois/dump_ch_7.txt	7177	152
[8]	https://zh.wikipedia.org/zh-hans/%E4%B8%AD%E5%9B%BD%E9%80%BB%E8%BE%91%E5%8F%B2	200	UTF-8	../../aspirations/ch_html/ch_8.html	../../dumps-text/logique_chinois/dump_ch_8.txt	4462	109
[9]	https://zh.wikipedia.org/zh-cn/%E9%80%BB%E8%BE%91%E5%8F%B2	200	UTF-8	../../aspirations/ch_html/ch_9.html	../../dumps-text/logique_chinois/dump_ch_9.txt	2022	81
[10]	https://zh.wikipedia.org/zh-cn/%E5%A2%A8%E5%AE%B6	200	UTF-8	../../aspirations/ch_html/ch_10.html	../../dumps-text/logique_chinois/dump_ch_10.txt	11001	21
[11]	https://baike.baidu.com/item/%E9%80%BB%E8%BE%91/543	200	-	../../aspirations/ch_html/ch_11.html	../../dumps-text/logique_chinois/dump_ch_11.txt	884	46
[12]	https://baike.baidu.com/item/%E9%80%BB%E8%BE%91%E6%80%9D%E7%BB%B4/2514407	200	-	../../aspirations/ch_html/ch_12.html	../../dumps-text/logique_chinois/dump_ch_12.txt	3858	42
[13]	https://baike.baidu.com/item/%E9%80%BB%E8%BE%91%E8%BF%90%E7%AE%97%E7%AC%A6/4123505?lemmaFrom=lemma_starMap&fromModule=lemma_starMap&starNodeId=b7f93dd6bd09eed7aa3eaf9c&lemmaIdFrom=543	200	-	../../aspirations/ch_html/ch_13.html	../../dumps-text/logique_chinois/dump_ch_13.txt	912	24
[14]	https://baike.baidu.com/item/%E8%BE%A9%E8%AF%81%E9%80%BB%E8%BE%91%E7%9A%84%E6%96%B9%E6%B3%95/14733624?fromModule=search-result_lemma	200	-	../../aspirations/ch_html/ch_14.html	../../dumps-text/logique_chinois/dump_ch_14.txt	2714	45
[15]	https://www.woshipm.com/zhichang/5575970.html	200	UTF-8	../../aspirations/ch_html/ch_15.html	../../dumps-text/logique_chinois/dump_ch_15.txt	7354	104
[16]	https://www.guoxuedashi.net/hydcd/481178l.html	200	UTF-8	../../aspirations/ch_html/ch_16.html	../../dumps-text/logique_chinois/dump_ch_16.txt	0	0
[17]	https://readxiaomang.work/%E8%BE%A9%E8%AF%81%E9%80%BB%E8%BE%91%E4%B8%8E%E2%80%9C%E8%AF%AD%E8%A8%80%E5%AD%A6%E4%B9%8B%E5%90%8E%E2%80%9D%E7%9A%84%E5%BB%BA%E6%9E%84/	200	-	../../aspirations/ch_html/ch_17.html	../../dumps-text/logique_chinois/dump_ch_17.txt	10627	127
[18]	https://philosophy.hku.hk/think/chi/whatislogic.php	200	UTF-8	../../aspirations/ch_html/ch_18.html	../../dumps-text/logique_chinois/dump_ch_18.txt	2390	0
[19]	https://www.thepaper.cn/newsDetail_forward_25335725	403	-	-	-	-	-
[20]	http://www.jyb.cn/rmtzgjyb/202102/t20210207_395474.html	200	-	../../aspirations/ch_html/ch_20.html	../../dumps-text/logique_chinois/dump_ch_20.txt	1858	17
[21]	https://www.cssn.cn/skgz/bwyc/202407/t20240705_5762934.shtml	200	-	../../aspirations/ch_html/ch_21.html	../../dumps-text/logique_chinois/dump_ch_21.txt	2970	10
[22]	https://www.cssn.cn/skgz/bwyc/202408/t20240805_5768721.shtml	200	-	../../aspirations/ch_html/ch_22.html	../../dumps-text/logique_chinois/dump_ch_22.txt	1931	9
[23]	http://www.cass.cn/xueshuchengguo/wenzhexuebulishixuebu/201807/t20180731_4514478.shtml	403	-	-	-	-	-
[24]	http://www.xinhuanet.com/politics/2021-04/12/c_1127319078.htm	200	utf-8	../../aspirations/ch_html/ch_24.html	../../dumps-text/logique_chinois/dump_ch_24.txt	6070	56
[25]	https://www.unesco.org/zh/days/world-logic	000	-	-	-	-	-
[26]	https://wxflogic.gitbook.io/logic/preface	200	utf-8	../../aspirations/ch_html/ch_26.html	../../dumps-text/logique_chinois/dump_ch_26.txt	951	18
[27]	https://logic.nju.edu.cn/b0/d6/c7603a176342/page.htm	200	UTF-8	../../aspirations/ch_html/ch_27.html	../../dumps-text/logique_chinois/dump_ch_27.txt	5100	237
[28]	https://nodebe4.github.io/mjlsh/1989-06-04/%E8%A8%80%E4%B9%9D%E6%9E%97-%E9%80%BB%E8%BE%91%E8%AF%BE%E7%9A%84%E6%B6%88%E4%BA%A1/	200	utf-8	../../aspirations/ch_html/ch_28.html	../../dumps-text/logique_chinois/dump_ch_28.txt	3274	134
[29]	https://hr.edu.cn/xueshu/202410/t20241015_2637078.shtml	200	-	../../aspirations/ch_html/ch_29.html	../../dumps-text/logique_chinois/dump_ch_29.txt	819	43
[30]	http://old.lifeweek.com.cn//2012/0801/38084.shtml	403	-	-	-	-	-
[31]	https://www.thepaper.cn/newsDetail_forward_26503473	403	-	-	-	-	-
[32]	https://www.thepaper.cn/newsDetail_forward_25764245	403	-	-	-	-	-
[33]	https://www.thepaper.cn/newsDetail_forward_29656291	403	-	-	-	-	-
[34]	https://chinadigitaltimes.net/chinese/313862.html	200	UTF-8	../../aspirations/ch_html/ch_34.html	../../dumps-text/logique_chinois/dump_ch_34.txt	2384	28
